Title 1,Title 2,Similarity Score
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,twenty years of environment and development economics: advice to graduate students,48.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,61.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,47.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,62.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,the choice of the voting structure for privatizing a company,64.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,economic measurement of capital and profitability,65.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,scientific—technological progress and the new problem of preventing the annihilation of the human world,48.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,usaf concerned about cost increase,76.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,beyond primacy: american grand strategy in the post-september 11 era,60.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,recent online resources for the analysis of terrorism and related subjects,50.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,dod's request for new base-closure authority facing uphill battle,65.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,economics of production of kesar mango in latur district of maharastra.,55.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,analysis of differences in the systems of anti-monopoly and regulatory policies of states,55.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,49.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,ten year plan and solution of india's middle class unemployment,59.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,45.0
creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,economic performance and international trade engagement: the case of portuguese manufacturing firms,37.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,54.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,31.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,62.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,saving lives with pre-arranged disaster aid: evidence from mexico,54.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,conditional cash transfers and child labor,57.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,55.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,access to imported intermediates and intra-firm wage inequality,54.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the effect of early-childhood education on social preferences,44.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,an experimental study on the effects of democracy on tax compliance,42.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,dividend payouts and rollover crises,67.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,private sector credit and inflation volatility,57.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,45.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the effect of removing geographic restrictions on banking in the united states: lessons for europe,21.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,zimbabwe's export performance: the impact of the parallel market and governance factors,42.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,some reflections on the anarcho-capitalism of futerman and block,43.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,under-reaction to political information and price momentum,51.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,50.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,bayesian and classical approaches to instrumental variable regression,50.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,total attention: the effect of macroeconomic news on market reaction to earnings news,38.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,time-varying risk aversion and currency excess returns,49.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,49.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,policies for synchronization in the transport–land-use system,45.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,does gender diversity in panels of judges matter? evidence from french child support cases,35.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,40.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,human capital and regional growth perspective,58.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,42.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,model calculations of short-run forecasts of russian economic time series.,43.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,45.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,convergence or divergence of south african cities and towns?,47.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,diversification-the key factors for success,58.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,twenty years of environment and development economics: advice to graduate students,37.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,52.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,32.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,53.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,the choice of the voting structure for privatizing a company,45.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,economic measurement of capital and profitability,54.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,scientific—technological progress and the new problem of preventing the annihilation of the human world,35.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,usaf concerned about cost increase,61.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,beyond primacy: american grand strategy in the post-september 11 era,51.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,recent online resources for the analysis of terrorism and related subjects,27.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,dod's request for new base-closure authority facing uphill battle,46.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,economics of production of kesar mango in latur district of maharastra.,44.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,analysis of differences in the systems of anti-monopoly and regulatory policies of states,42.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,52.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,ten year plan and solution of india's middle class unemployment,52.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,44.0
the long or short of it: determinants of foreign currency exposure in external balance sheets,economic performance and international trade engagement: the case of portuguese manufacturing firms,36.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,55.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,28.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,55.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,saving lives with pre-arranged disaster aid: evidence from mexico,55.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,conditional cash transfers and child labor,68.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,56.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,access to imported intermediates and intra-firm wage inequality,57.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the effect of early-childhood education on social preferences,53.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,an experimental study on the effects of democracy on tax compliance,55.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,dividend payouts and rollover crises,74.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,private sector credit and inflation volatility,64.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,50.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the long or short of it: determinants of foreign currency exposure in external balance sheets,21.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,zimbabwe's export performance: the impact of the parallel market and governance factors,51.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,some reflections on the anarcho-capitalism of futerman and block,52.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,under-reaction to political information and price momentum,54.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,41.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,bayesian and classical approaches to instrumental variable regression,53.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,total attention: the effect of macroeconomic news on market reaction to earnings news,39.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,time-varying risk aversion and currency excess returns,56.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,42.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,policies for synchronization in the transport–land-use system,48.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,does gender diversity in panels of judges matter? evidence from french child support cases,34.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,39.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,human capital and regional growth perspective,63.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,41.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,model calculations of short-run forecasts of russian economic time series.,46.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,36.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,convergence or divergence of south african cities and towns?,50.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,diversification-the key factors for success,61.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,twenty years of environment and development economics: advice to graduate students,42.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,51.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,35.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,52.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,the choice of the voting structure for privatizing a company,46.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,economic measurement of capital and profitability,61.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,scientific—technological progress and the new problem of preventing the annihilation of the human world,32.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,usaf concerned about cost increase,66.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,beyond primacy: american grand strategy in the post-september 11 era,58.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,recent online resources for the analysis of terrorism and related subjects,40.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,dod's request for new base-closure authority facing uphill battle,59.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,economics of production of kesar mango in latur district of maharastra.,45.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,analysis of differences in the systems of anti-monopoly and regulatory policies of states,41.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,45.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,ten year plan and solution of india's middle class unemployment,63.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,53.0
the effect of removing geographic restrictions on banking in the united states: lessons for europe,economic performance and international trade engagement: the case of portuguese manufacturing firms,35.0
zimbabwe's export performance: the impact of the parallel market and governance factors,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,60.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,35.0
zimbabwe's export performance: the impact of the parallel market and governance factors,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,76.0
zimbabwe's export performance: the impact of the parallel market and governance factors,saving lives with pre-arranged disaster aid: evidence from mexico,50.0
zimbabwe's export performance: the impact of the parallel market and governance factors,conditional cash transfers and child labor,53.0
zimbabwe's export performance: the impact of the parallel market and governance factors,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,63.0
zimbabwe's export performance: the impact of the parallel market and governance factors,access to imported intermediates and intra-firm wage inequality,48.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the effect of early-childhood education on social preferences,46.0
zimbabwe's export performance: the impact of the parallel market and governance factors,an experimental study on the effects of democracy on tax compliance,34.0
zimbabwe's export performance: the impact of the parallel market and governance factors,dividend payouts and rollover crises,67.0
zimbabwe's export performance: the impact of the parallel market and governance factors,private sector credit and inflation volatility,55.0
zimbabwe's export performance: the impact of the parallel market and governance factors,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,51.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the long or short of it: determinants of foreign currency exposure in external balance sheets,42.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the effect of removing geographic restrictions on banking in the united states: lessons for europe,51.0
zimbabwe's export performance: the impact of the parallel market and governance factors,some reflections on the anarcho-capitalism of futerman and block,35.0
zimbabwe's export performance: the impact of the parallel market and governance factors,under-reaction to political information and price momentum,51.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,64.0
zimbabwe's export performance: the impact of the parallel market and governance factors,bayesian and classical approaches to instrumental variable regression,44.0
zimbabwe's export performance: the impact of the parallel market and governance factors,total attention: the effect of macroeconomic news on market reaction to earnings news,40.0
zimbabwe's export performance: the impact of the parallel market and governance factors,time-varying risk aversion and currency excess returns,57.0
zimbabwe's export performance: the impact of the parallel market and governance factors,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,49.0
zimbabwe's export performance: the impact of the parallel market and governance factors,policies for synchronization in the transport–land-use system,53.0
zimbabwe's export performance: the impact of the parallel market and governance factors,does gender diversity in panels of judges matter? evidence from french child support cases,47.0
zimbabwe's export performance: the impact of the parallel market and governance factors,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,40.0
zimbabwe's export performance: the impact of the parallel market and governance factors,human capital and regional growth perspective,48.0
zimbabwe's export performance: the impact of the parallel market and governance factors,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,60.0
zimbabwe's export performance: the impact of the parallel market and governance factors,model calculations of short-run forecasts of russian economic time series.,49.0
zimbabwe's export performance: the impact of the parallel market and governance factors,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,53.0
zimbabwe's export performance: the impact of the parallel market and governance factors,convergence or divergence of south african cities and towns?,49.0
zimbabwe's export performance: the impact of the parallel market and governance factors,diversification-the key factors for success,60.0
zimbabwe's export performance: the impact of the parallel market and governance factors,twenty years of environment and development economics: advice to graduate students,47.0
zimbabwe's export performance: the impact of the parallel market and governance factors,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,60.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,42.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,61.0
zimbabwe's export performance: the impact of the parallel market and governance factors,the choice of the voting structure for privatizing a company,45.0
zimbabwe's export performance: the impact of the parallel market and governance factors,economic measurement of capital and profitability,48.0
zimbabwe's export performance: the impact of the parallel market and governance factors,scientific—technological progress and the new problem of preventing the annihilation of the human world,45.0
zimbabwe's export performance: the impact of the parallel market and governance factors,usaf concerned about cost increase,59.0
zimbabwe's export performance: the impact of the parallel market and governance factors,beyond primacy: american grand strategy in the post-september 11 era,39.0
zimbabwe's export performance: the impact of the parallel market and governance factors,recent online resources for the analysis of terrorism and related subjects,39.0
zimbabwe's export performance: the impact of the parallel market and governance factors,dod's request for new base-closure authority facing uphill battle,46.0
zimbabwe's export performance: the impact of the parallel market and governance factors,economics of production of kesar mango in latur district of maharastra.,40.0
zimbabwe's export performance: the impact of the parallel market and governance factors,analysis of differences in the systems of anti-monopoly and regulatory policies of states,52.0
zimbabwe's export performance: the impact of the parallel market and governance factors,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,62.0
zimbabwe's export performance: the impact of the parallel market and governance factors,ten year plan and solution of india's middle class unemployment,56.0
zimbabwe's export performance: the impact of the parallel market and governance factors,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,56.0
zimbabwe's export performance: the impact of the parallel market and governance factors,economic performance and international trade engagement: the case of portuguese manufacturing firms,38.0
some reflections on the anarcho-capitalism of futerman and block,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,71.0
some reflections on the anarcho-capitalism of futerman and block,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,38.0
some reflections on the anarcho-capitalism of futerman and block,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,81.0
some reflections on the anarcho-capitalism of futerman and block,saving lives with pre-arranged disaster aid: evidence from mexico,41.0
some reflections on the anarcho-capitalism of futerman and block,conditional cash transfers and child labor,26.0
some reflections on the anarcho-capitalism of futerman and block,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,62.0
some reflections on the anarcho-capitalism of futerman and block,access to imported intermediates and intra-firm wage inequality,31.0
some reflections on the anarcho-capitalism of futerman and block,the effect of early-childhood education on social preferences,23.0
some reflections on the anarcho-capitalism of futerman and block,an experimental study on the effects of democracy on tax compliance,23.0
some reflections on the anarcho-capitalism of futerman and block,dividend payouts and rollover crises,40.0
some reflections on the anarcho-capitalism of futerman and block,private sector credit and inflation volatility,36.0
some reflections on the anarcho-capitalism of futerman and block,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,60.0
some reflections on the anarcho-capitalism of futerman and block,the long or short of it: determinants of foreign currency exposure in external balance sheets,43.0
some reflections on the anarcho-capitalism of futerman and block,the effect of removing geographic restrictions on banking in the united states: lessons for europe,52.0
some reflections on the anarcho-capitalism of futerman and block,zimbabwe's export performance: the impact of the parallel market and governance factors,35.0
some reflections on the anarcho-capitalism of futerman and block,under-reaction to political information and price momentum,26.0
some reflections on the anarcho-capitalism of futerman and block,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,57.0
some reflections on the anarcho-capitalism of futerman and block,bayesian and classical approaches to instrumental variable regression,33.0
some reflections on the anarcho-capitalism of futerman and block,total attention: the effect of macroeconomic news on market reaction to earnings news,37.0
some reflections on the anarcho-capitalism of futerman and block,time-varying risk aversion and currency excess returns,40.0
some reflections on the anarcho-capitalism of futerman and block,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,54.0
some reflections on the anarcho-capitalism of futerman and block,policies for synchronization in the transport–land-use system,28.0
some reflections on the anarcho-capitalism of futerman and block,does gender diversity in panels of judges matter? evidence from french child support cases,46.0
some reflections on the anarcho-capitalism of futerman and block,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,39.0
some reflections on the anarcho-capitalism of futerman and block,human capital and regional growth perspective,31.0
some reflections on the anarcho-capitalism of futerman and block,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,61.0
some reflections on the anarcho-capitalism of futerman and block,model calculations of short-run forecasts of russian economic time series.,24.0
some reflections on the anarcho-capitalism of futerman and block,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,62.0
some reflections on the anarcho-capitalism of futerman and block,convergence or divergence of south african cities and towns?,30.0
some reflections on the anarcho-capitalism of futerman and block,diversification-the key factors for success,31.0
some reflections on the anarcho-capitalism of futerman and block,twenty years of environment and development economics: advice to graduate students,40.0
some reflections on the anarcho-capitalism of futerman and block,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,65.0
some reflections on the anarcho-capitalism of futerman and block,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,47.0
some reflections on the anarcho-capitalism of futerman and block,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,58.0
some reflections on the anarcho-capitalism of futerman and block,the choice of the voting structure for privatizing a company,34.0
some reflections on the anarcho-capitalism of futerman and block,economic measurement of capital and profitability,23.0
some reflections on the anarcho-capitalism of futerman and block,scientific—technological progress and the new problem of preventing the annihilation of the human world,46.0
some reflections on the anarcho-capitalism of futerman and block,usaf concerned about cost increase,32.0
some reflections on the anarcho-capitalism of futerman and block,beyond primacy: american grand strategy in the post-september 11 era,36.0
some reflections on the anarcho-capitalism of futerman and block,recent online resources for the analysis of terrorism and related subjects,32.0
some reflections on the anarcho-capitalism of futerman and block,dod's request for new base-closure authority facing uphill battle,29.0
some reflections on the anarcho-capitalism of futerman and block,economics of production of kesar mango in latur district of maharastra.,25.0
some reflections on the anarcho-capitalism of futerman and block,analysis of differences in the systems of anti-monopoly and regulatory policies of states,37.0
some reflections on the anarcho-capitalism of futerman and block,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,67.0
some reflections on the anarcho-capitalism of futerman and block,ten year plan and solution of india's middle class unemployment,31.0
some reflections on the anarcho-capitalism of futerman and block,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,55.0
some reflections on the anarcho-capitalism of futerman and block,economic performance and international trade engagement: the case of portuguese manufacturing firms,47.0
under-reaction to political information and price momentum,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,71.0
under-reaction to political information and price momentum,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,44.0
under-reaction to political information and price momentum,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,79.0
under-reaction to political information and price momentum,saving lives with pre-arranged disaster aid: evidence from mexico,41.0
under-reaction to political information and price momentum,conditional cash transfers and child labor,34.0
under-reaction to political information and price momentum,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,66.0
under-reaction to political information and price momentum,access to imported intermediates and intra-firm wage inequality,27.0
under-reaction to political information and price momentum,the effect of early-childhood education on social preferences,35.0
under-reaction to political information and price momentum,an experimental study on the effects of democracy on tax compliance,31.0
under-reaction to political information and price momentum,dividend payouts and rollover crises,38.0
under-reaction to political information and price momentum,private sector credit and inflation volatility,24.0
under-reaction to political information and price momentum,creating entrepreneurial opportunities as a means to maintain entrepreneurial talent in corporations,56.0
under-reaction to political information and price momentum,the long or short of it: determinants of foreign currency exposure in external balance sheets,51.0
under-reaction to political information and price momentum,the effect of removing geographic restrictions on banking in the united states: lessons for europe,54.0
under-reaction to political information and price momentum,zimbabwe's export performance: the impact of the parallel market and governance factors,51.0
under-reaction to political information and price momentum,some reflections on the anarcho-capitalism of futerman and block,26.0
under-reaction to political information and price momentum,the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,57.0
under-reaction to political information and price momentum,bayesian and classical approaches to instrumental variable regression,39.0
under-reaction to political information and price momentum,total attention: the effect of macroeconomic news on market reaction to earnings news,49.0
under-reaction to political information and price momentum,time-varying risk aversion and currency excess returns,38.0
under-reaction to political information and price momentum,mapping ecosystem services: practical challenges and opportunities in linking gis and value transfer,54.0
under-reaction to political information and price momentum,policies for synchronization in the transport–land-use system,20.0
under-reaction to political information and price momentum,does gender diversity in panels of judges matter? evidence from french child support cases,50.0
under-reaction to political information and price momentum,intuitive and reliable estimates of the output gap from a beveridge-nelson filter,41.0
under-reaction to political information and price momentum,human capital and regional growth perspective,31.0
under-reaction to political information and price momentum,titus cristureanu – leading figure of the romanian international business and economics higher education tradition,65.0
under-reaction to political information and price momentum,model calculations of short-run forecasts of russian economic time series.,32.0
under-reaction to political information and price momentum,resilience to climate change in industrial shrimping in bangladesh: assessing the comparative role of the stakeholders,68.0
under-reaction to political information and price momentum,convergence or divergence of south african cities and towns?,34.0
under-reaction to political information and price momentum,diversification-the key factors for success,39.0
under-reaction to political information and price momentum,twenty years of environment and development economics: advice to graduate students,40.0
under-reaction to political information and price momentum,ma-xrf imaging as a tool to characterize the 16th century heraldic stained-glass panels in ghent saint bavo cathedral,71.0
under-reaction to political information and price momentum,the impact of the consistency of carbon performance and carbon information disclosure on enterprise value,51.0
under-reaction to political information and price momentum,the australian real-time fiscal database: an overview with illustrations of its use in analysing fiscal policy,66.0
under-reaction to political information and price momentum,the choice of the voting structure for privatizing a company,30.0
under-reaction to political information and price momentum,economic measurement of capital and profitability,19.0
under-reaction to political information and price momentum,scientific—technological progress and the new problem of preventing the annihilation of the human world,52.0
under-reaction to political information and price momentum,usaf concerned about cost increase,34.0
under-reaction to political information and price momentum,beyond primacy: american grand strategy in the post-september 11 era,42.0
under-reaction to political information and price momentum,recent online resources for the analysis of terrorism and related subjects,38.0
under-reaction to political information and price momentum,dod's request for new base-closure authority facing uphill battle,37.0
under-reaction to political information and price momentum,economics of production of kesar mango in latur district of maharastra.,31.0
under-reaction to political information and price momentum,analysis of differences in the systems of anti-monopoly and regulatory policies of states,41.0
under-reaction to political information and price momentum,an interrupted time-series analysis to assess impact of introduction of co-payment on emergency room visits in cyprus,61.0
under-reaction to political information and price momentum,ten year plan and solution of india's middle class unemployment,31.0
under-reaction to political information and price momentum,las barreras no arancelarias al momento de la importación y su consecuencia en el comercio internacional,57.0
under-reaction to political information and price momentum,economic performance and international trade engagement: the case of portuguese manufacturing firms,47.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,neither a zinc supplement nor phytate-reduced maize nor their combination enhance growth of 6- to 12-month-old guatemalan infants,72.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,the effects of social norms on motivation crowding: experimental evidence from the tibetan plateau,47.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,evaluating the environmental impact of payments for ecosystem services in coatepec (mexico) using remote sensing and on-site interviews,46.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,saving lives with pre-arranged disaster aid: evidence from mexico,58.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,conditional cash transfers and child labor,71.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,do households gain from community-based natural resource management? an evaluation of community conservancies in namibia,61.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,access to imported intermediates and intra-firm wage inequality,60.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,the effect of early-childhood education on social preferences,58.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,an experimental study on the effects of democracy on tax compliance,58.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,dividend payouts and rollover crises,73.0
the impact of coproducing services with clients on knowledge-intensive business services’ innovativeness,private sector credit and inflation volatility,65.0
